,sampling,ROC_AUC,accuracy,precision,recall,f1_score,model,params
0,NoResampling,0.8176603906854978,0.7751277683134583,0.6053268765133172,0.5175983436853002,0.5580357142857143,LogisticRegression,
1,Oversampling1,0.8146779226081123,0.7552526973310619,0.54421768707483,0.6625258799171843,0.5975723622782447,LogisticRegression,
2,Oversampling05,0.8183229813664596,0.7705848949460534,0.583864118895966,0.5693581780538303,0.5765199161425577,LogisticRegression,
3,Undersampling,0.8156790987470718,0.7285633162975582,0.5033647375504711,0.7743271221532091,0.6101141924959217,LogisticRegression,
0,gridsearch,0.8157738702747888,0.7285633162975582,0.5033647375504711,0.7743271221532091,0.6101141924959217,LogisticRegression,"{'C': 1, 'max_iter': 100, 'penalty': 'l1', 'solver': 'saga'}"
0,feature_reduction,0.8148520754154558,0.7365133446905168,0.5128900949796472,0.782608695652174,0.6196721311475409,LogisticRegression,0.2
0,NoResampling,0.8086020146644763,0.7768313458262351,0.6136363636363636,0.5031055900621118,0.5529010238907849,RandomForestClassifier,
1,Oversampling1,0.8075749181076799,0.7688813174332766,0.571969696969697,0.6252587991718427,0.5974282888229476,RandomForestClassifier,
2,Oversampling05,0.8095011291582019,0.7739920499716071,0.5946547884187082,0.5527950310559007,0.572961373390558,RandomForestClassifier,
3,Undersampling,0.8169564893386081,0.7410562180579217,0.5189340813464236,0.7660455486542443,0.6187290969899666,RandomForestClassifier,
0,gridsearch,0.8274558785887629,0.7410562180579217,0.5189340813464236,0.7660455486542443,0.6187290969899666,RandomForestClassifier,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}"
4,feature_reduction,0.8268078681428344,0.7342419080068143,0.5102040816326531,0.7763975155279503,0.6157635467980296,RandomForestClassifier,0.0
0,NoResampling,0.8206687791807205,0.778534923339012,0.6171284634760705,0.5072463768115942,0.5568181818181819,GradientBoostingClassifier,
1,Oversampling1,0.8237014680676651,0.7614991482112436,0.5497630331753555,0.7204968944099379,0.6236559139784947,GradientBoostingClassifier,
2,Oversampling05,0.824121054831404,0.7734241908006815,0.5886075949367089,0.577639751552795,0.5830721003134796,GradientBoostingClassifier,
3,Undersampling,0.8203674543233637,0.7325383304940375,0.5082191780821917,0.7681159420289855,0.6117065127782357,GradientBoostingClassifier,
0,gridsearch,0.7993208850526671,0.7325383304940375,0.5082191780821917,0.7681159420289855,0.6117065127782357,GradientBoostingClassifier,"{'learning_rate': 0.1, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}"
4,feature_reduction,0.794178112151168,0.7677455990914254,0.5745967741935484,0.5900621118012422,0.5822267620020428,GradientBoostingClassifier,0.0
0,NoResampling,0.7768754232318226,0.7717206132879046,0.6051948051948052,0.4824016563146998,0.5368663594470047,SVC,
1,Oversampling1,0.7994577772593694,0.7654741624077229,0.5620567375886525,0.6563146997929606,0.6055396370582617,SVC,
2,Oversampling05,0.7890401993280133,0.7728563316297559,0.5870020964360587,0.5797101449275363,0.5833333333333335,SVC,
3,Undersampling,0.8059314016141941,0.7228847245883021,0.4967148488830486,0.782608695652174,0.6077170418006431,SVC,
0,gridsearch,0.809625061155986,0.7228847245883021,0.4967148488830486,0.782608695652174,0.6077170418006431,SVC,"{'C': 0.001, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear', 'probability': True}"
2,feature_reduction,0.8102463411710197,0.7035775127768313,0.47630619684082626,0.8115942028985508,0.6003062787136295,SVC,0.1
0,NoResampling,0.8047714629159822,0.7756956274843839,0.6182795698924731,0.47619047619047616,0.5380116959064327,MLPClassifier,
1,Oversampling1,0.8006630766887962,0.7558205565019875,0.5456110154905336,0.6563146997929606,0.5958646616541353,MLPClassifier,
2,Oversampling05,0.8019671977112272,0.7620670073821693,0.5617760617760618,0.6024844720496895,0.5814185814185815,MLPClassifier,
3,Undersampling,0.792828630397522,0.7189097103918228,0.49193548387096775,0.7577639751552795,0.5965770171149144,MLPClassifier,
0,gridsearch,0.8105727764331561,0.7189097103918228,0.49193548387096775,0.7577639751552795,0.5965770171149144,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'max_iter': 200, 'random_state': 42, 'solver': 'adam'}"
