,sampling,ROC_AUC,accuracy,precision,recall,f1_score,model,params
0,NoResampling,0.856404846911176,0.8069278818852924,0.6840659340659341,0.5253164556962026,0.594272076372315,LogisticRegression,
1,Oversampling1,0.8501839229687332,0.7864849517319704,0.5900735294117647,0.6772151898734177,0.6306483300589392,LogisticRegression,
2,Oversampling05,0.8548229782406997,0.7995457126632595,0.6430260047281324,0.5738396624472574,0.6064659977703455,LogisticRegression,
3,Undersampling,0.8565507394621319,0.7660420215786485,0.5449275362318841,0.7932489451476793,0.6460481099656358,LogisticRegression,
0,gridsearch,0.8404451853818943,0.7660420215786485,0.5449275362318841,0.7932489451476793,0.6460481099656358,LogisticRegression,"{'C': 0.01, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}"
1,feature_reduction,0.8334177543038302,0.6950596252129472,0.464326160815402,0.8649789029535865,0.6042741341193809,LogisticRegression,0.15
2,feature_reduction,0.8334177543038302,0.6950596252129472,0.464326160815402,0.8649789029535865,0.6042741341193809,LogisticRegression,0.1
0,NoResampling,0.832527645818785,0.7853492333901193,0.6445783132530121,0.45147679324894513,0.531017369727047,RandomForestClassifier,
1,Oversampling1,0.8255141482989584,0.7859170925610448,0.5983772819472617,0.6223628691983122,0.6101344364012409,RandomForestClassifier,
2,Oversampling05,0.8321891423157246,0.7927314026121521,0.646112600536193,0.5084388185654009,0.5690672963400236,RandomForestClassifier,
3,Undersampling,0.8358995669122251,0.7558205565019875,0.532448377581121,0.7616033755274262,0.6267361111111112,RandomForestClassifier,
0,gridsearch,0.8559065172989224,0.7558205565019875,0.532448377581121,0.7616033755274262,0.6267361111111112,RandomForestClassifier,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}"
0,feature_reduction,0.7483476439172643,0.6740488358886996,0.448024948024948,0.9092827004219409,0.6002785515320335,RandomForestClassifier,0.15
0,NoResampling,0.8573670820506265,0.8091993185689949,0.7017543859649122,0.5063291139240507,0.5882352941176471,GradientBoostingClassifier,
1,Oversampling1,0.8547270825751839,0.778534923339012,0.5688524590163935,0.7320675105485233,0.6402214022140222,GradientBoostingClassifier,
2,Oversampling05,0.8580481871621112,0.8035207268597387,0.6538461538461539,0.5738396624472574,0.6112359550561798,GradientBoostingClassifier,
3,Undersampling,0.8548951048951048,0.771152754116979,0.5502121640735502,0.820675105485232,0.6587637595258257,GradientBoostingClassifier,
0,gridsearch,0.861245528967048,0.771152754116979,0.5502121640735502,0.820675105485232,0.6587637595258257,GradientBoostingClassifier,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}"
1,feature_reduction,0.7871837492090658,0.6825667234525837,0.45251396648044695,0.8544303797468354,0.591672753834916,GradientBoostingClassifier,0.15
2,feature_reduction,0.7875788065661483,0.6825667234525837,0.45251396648044695,0.8544303797468354,0.591672753834916,GradientBoostingClassifier,0.1
0,NoResampling,0.7977986617227124,0.7950028392958546,0.6686567164179105,0.47257383966244726,0.553770086526576,SVC,
1,Oversampling1,0.833177605329504,0.787052810902896,0.5968688845401174,0.6434599156118144,0.6192893401015229,SVC,
2,Oversampling05,0.8219307649687396,0.7887563884156729,0.625615763546798,0.5358649789029536,0.5772727272727274,SVC,
3,Undersampling,0.8495413400476691,0.7649063032367973,0.5431034482758621,0.7974683544303798,0.6461538461538462,SVC,
0,gridsearch,0.7836446254167774,0.7649063032367973,0.5431034482758621,0.7974683544303798,0.6461538461538462,SVC,"{'C': 0.001, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid', 'probability': True}"
0,NoResampling,0.8270870011376341,0.7881885292447472,0.6246913580246913,0.5337552742616034,0.5756541524459613,MLPClassifier,
1,Oversampling1,0.8149959510719004,0.7694491766042022,0.5691056910569106,0.5907172995780591,0.5797101449275361,MLPClassifier,
2,Oversampling05,0.8252887525039423,0.7853492333901193,0.6081081081081081,0.569620253164557,0.5882352941176471,MLPClassifier,
3,Undersampling,0.8284754392349329,0.7279954571266326,0.49670619235836627,0.7953586497890295,0.6115166261151663,MLPClassifier,
0,gridsearch,0.8532935653188818,0.7279954571266326,0.49670619235836627,0.7953586497890295,0.6115166261151663,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'max_iter': 200, 'random_state': 42, 'solver': 'adam'}"
